scenario,unemployment_change_pp,inflation_change_pp,odds_multiplier,mean_predicted_default_probability,median_predicted_default_probability,p90_predicted_default_probability,p95_predicted_default_probability,number_of_loans,increase_vs_baseline_pp,relative_increase_vs_baseline_pct
Baseline,0.0,0.0,1.0,0.11145418262472902,0.09293914137442996,0.18269230769230765,0.22661961179732792,81395,0.0,0.0
Moderate Stress,1.0,2.0,1.2100000000000002,0.13071728065748855,0.11030354258989901,0.21289008241503843,0.2617528797172138,81395,1.9263098032759538,17.283423178131606
Severe Stress,3.0,4.0,1.56,0.16053955350915458,0.13781248318375597,0.2585484996510816,0.31371408630917763,81395,4.908537088442556,44.04085134220408
