issued_amount,initial_interest_rate,initial_loan_duration,loan_amount_band,loan_term_bucket,interest_rate_bucket,country_grouped,customer_risk_rating_was_missing
531.0,0.1705,48,very_low,37-48mo,low,Estonia,1
530.0,0.2308,36,very_low,25-36mo,high,Estonia,1
4150.0,0.1,60,high,49-60mo,very_low,Finland,1
518.0,0.2,3,very_low,<=12mo,high,Finland,1
531.0,0.09,36,very_low,25-36mo,very_low,Estonia,1
518.0,0.1927,9,very_low,<=12mo,low,Finland,1
4150.0,0.1927,60,high,49-60mo,low,Finland,1
4150.0,0.2,36,high,25-36mo,high,Finland,1
637.0,0.1367,42,low,37-48mo,very_low,Estonia,1
2126.0,0.1185,60,medium,49-60mo,very_low,Estonia,1
531.0,0.1367,60,very_low,49-60mo,very_low,Estonia,1
4150.0,0.1927,120,high,60mo+,low,Finland,1
5420.0,0.5973,60,very_high,49-60mo,very_high,Finland,1
530.0,0.2248,60,very_low,49-60mo,high,Estonia,1
2230.0,0.1513,9,medium,<=12mo,very_low,Estonia,1
4150.0,0.1927,24,high,13-24mo,low,Finland,1
2125.0,0.2634,36,medium,25-36mo,high,Estonia,1
530.0,0.4986,60,very_low,49-60mo,very_high,Spain,1
6695.0,0.3746,60,very_high,49-60mo,very_high,Estonia,1
4150.0,0.2,60,high,49-60mo,high,Finland,1
2655.0,0.5776,48,medium,37-48mo,very_high,Finland,1
3736.0,0.2,60,high,49-60mo,high,Finland,1
4150.0,0.1927,60,high,49-60mo,low,Finland,1
10630.0,0.3707,60,very_high,49-60mo,very_high,Estonia,1
2335.0,0.4251,48,medium,37-48mo,very_high,Finland,1
956.0,0.2576,60,low,49-60mo,high,Estonia,1
518.0,0.2,36,very_low,25-36mo,high,Finland,1
4250.0,0.5973,60,very_high,49-60mo,very_high,Finland,1
4253.0,0.2368,36,very_high,25-36mo,high,Estonia,1
956.0,0.1972,60,low,49-60mo,medium,Estonia,1
4150.0,0.1,60,high,49-60mo,very_low,Finland,1
1245.0,0.1,60,low,49-60mo,very_low,Finland,1
1275.0,0.2517,30,low,25-36mo,high,Estonia,1
3185.0,0.3078,60,medium,49-60mo,very_high,Estonia,1
4253.0,0.2576,60,very_high,49-60mo,high,Estonia,1
2658.0,0.1334,60,medium,49-60mo,very_low,Estonia,1
530.0,0.3773,48,very_low,37-48mo,very_high,Estonia,1
1169.0,0.1399,60,low,49-60mo,very_low,Estonia,1
3113.0,0.1,30,medium,25-36mo,very_low,Finland,1
3113.0,0.1,6,medium,<=12mo,very_low,Finland,1
518.0,0.1927,12,very_low,<=12mo,low,Finland,1
212.0,0.3148,60,very_low,49-60mo,very_high,Estonia,1
4250.0,0.1594,60,very_high,49-60mo,very_low,Estonia,1
2655.0,0.489,36,medium,25-36mo,very_high,Finland,1
4150.0,0.1,60,high,49-60mo,very_low,Finland,1
531.0,0.1152,6,very_low,<=12mo,very_low,Estonia,1
4250.0,0.5973,60,very_high,49-60mo,very_high,Finland,1
4150.0,0.1,60,high,49-60mo,very_low,Finland,1
740.0,0.3943,60,low,49-60mo,very_high,Estonia,1
4150.0,0.2,36,high,25-36mo,high,Finland,1
531.0,0.288,36,very_low,25-36mo,high,Estonia,1
531.0,0.3078,36,very_low,25-36mo,very_high,Estonia,1
3217.0,0.2,60,high,49-60mo,high,Finland,1
531.0,0.4513,36,very_low,25-36mo,very_high,Spain,1
6485.0,0.1941,60,very_high,49-60mo,medium,Estonia,1
3720.0,0.2487,18,high,13-24mo,high,Estonia,1
531.0,0.5973,60,very_low,49-60mo,very_high,Spain,1
2125.0,0.5809,60,medium,49-60mo,very_high,Spain,1
253.0,0.1863,60,very_low,49-60mo,low,Estonia,1
195.61410000000004,0.1,54,very_low,49-60mo,very_low,Finland,1
1594.0,0.1118,12,low,<=12mo,very_low,Estonia,1
4150.0,0.1,60,high,49-60mo,very_low,Finland,1
3721.0,0.1432,60,high,49-60mo,very_low,Estonia,1
4250.0,0.5973,60,very_high,49-60mo,very_high,Finland,1
2126.0,0.3904,60,medium,49-60mo,very_high,Estonia,1
4150.0,0.1,60,high,49-60mo,very_low,Finland,1
2658.0,0.161,36,medium,25-36mo,very_low,Estonia,1
1063.0,0.1816,60,low,49-60mo,low,Estonia,1
2126.0,0.5776,60,medium,49-60mo,very_high,Spain,1
4150.0,0.1927,60,high,49-60mo,low,Finland,1
531.0,0.18,12,very_low,<=12mo,low,Estonia,1
4253.0,0.2263,60,very_high,49-60mo,high,Spain,1
518.0,0.1,12,very_low,<=12mo,very_low,Finland,1
531.0,0.2308,60,very_low,49-60mo,high,Spain,1
2126.0,0.208,24,medium,13-24mo,high,Estonia,1
530.0,0.364,36,very_low,25-36mo,very_high,Estonia,1
6698.0,0.1152,36,very_high,25-36mo,very_low,Estonia,1
2125.0,0.5776,60,medium,49-60mo,very_high,Spain,1
10630.0,0.2852,60,very_high,49-60mo,high,Finland,1
7442.0,0.3246,60,very_high,49-60mo,very_high,Estonia,1
530.0,0.3397,24,very_low,13-24mo,very_high,Estonia,1
2870.0,0.3107,36,medium,25-36mo,very_high,Estonia,1
1488.0,0.365,60,low,49-60mo,very_high,Estonia,1
2335.0,0.5393,36,medium,25-36mo,very_high,Finland,1
530.0,0.337,60,very_low,49-60mo,very_high,Estonia,1
4150.0,0.1,60,high,49-60mo,very_low,Finland,1
6911.0,0.2034,60,very_high,49-60mo,high,Estonia,1
6375.0,0.3036,60,very_high,49-60mo,very_high,Estonia,1
956.0,0.365,60,low,49-60mo,very_high,Estonia,1
2126.0,0.1737,30,medium,25-36mo,low,Estonia,1
530.0,0.3107,36,very_low,25-36mo,very_high,Estonia,1
531.0,0.1545,36,very_low,25-36mo,very_low,Estonia,1
6375.0,0.205,36,very_high,25-36mo,high,Finland,1
3113.0,0.1927,60,medium,49-60mo,low,Finland,1
5316.0,0.1513,60,very_high,49-60mo,very_low,Estonia,1
4253.0,0.2278,36,very_high,25-36mo,high,Estonia,1
2232.0,0.5951,36,medium,25-36mo,very_high,Spain,1
518.0,0.1,60,very_low,49-60mo,very_low,Finland,1
2550.0,0.5973,60,medium,49-60mo,very_high,Finland,1
5209.0,0.2736,60,very_high,49-60mo,high,Estonia,1
10630.0,0.1432,60,very_high,49-60mo,very_low,Estonia,1
3721.0,0.2837,60,high,49-60mo,high,Estonia,1
10630.0,0.161,60,very_high,49-60mo,very_low,Estonia,1
2125.0,0.5776,60,medium,49-60mo,very_high,Spain,1
4150.0,0.2,36,high,25-36mo,high,Finland,1
1380.0,0.356,24,low,13-24mo,very_high,Estonia,1
2658.0,0.2634,18,medium,13-24mo,high,Estonia,1
1060.0,0.2353,60,low,49-60mo,high,Estonia,1
740.0,0.1721,36,low,25-36mo,low,Estonia,1
531.0,0.3533,36,very_low,25-36mo,very_high,Estonia,1
1594.0,0.5609,60,low,49-60mo,very_high,Spain,1
4250.0,0.5919,36,very_high,25-36mo,very_high,Spain,1
3615.0,0.298,60,high,49-60mo,high,Estonia,1
2655.0,0.278,60,medium,49-60mo,high,Estonia,1
1060.0,0.2923,12,low,<=12mo,high,Estonia,1
1380.0,0.1816,36,low,25-36mo,low,Estonia,1
2125.0,0.5973,60,medium,49-60mo,very_high,Finland,1
3671.0,0.2413,60,high,49-60mo,high,Estonia,1
2020.0,0.5973,60,medium,49-60mo,very_high,Finland,1
1060.0,0.3093,60,low,49-60mo,very_high,Estonia,1
531.0,0.1721,36,very_low,25-36mo,low,Estonia,1
2126.0,0.5609,60,medium,49-60mo,very_high,Spain,1
2126.0,0.5609,60,medium,49-60mo,very_high,Spain,1
2445.0,0.5973,60,medium,49-60mo,very_high,Finland,1
518.0,0.149,60,very_low,49-60mo,very_low,Finland,1
4253.0,0.3246,60,very_high,49-60mo,very_high,Estonia,1
531.0,0.1218,60,very_low,49-60mo,very_low,Estonia,1
530.0,0.1185,36,very_low,25-36mo,very_low,Estonia,1
4250.0,0.5973,60,very_high,49-60mo,very_high,Finland,1
4253.0,0.3653,60,very_high,49-60mo,very_high,Spain,1
530.0,0.1863,36,very_low,25-36mo,low,Estonia,1
6804.0,0.3999,60,very_high,49-60mo,very_high,Estonia,1
530.0,0.3451,24,very_low,13-24mo,very_high,Estonia,1
830.0,0.2,36,low,25-36mo,high,Finland,1
2020.0,0.1705,36,medium,25-36mo,low,Estonia,1
1060.0,0.1481,12,low,<=12mo,very_low,Estonia,1
530.0,0.2142,36,very_low,25-36mo,high,Finland,1
531.0,0.3956,54,very_low,49-60mo,very_high,Estonia,1
850.0,0.3943,48,low,37-48mo,very_high,Estonia,1
4250.0,0.191,60,very_high,49-60mo,low,Finland,1
6270.0,0.3148,36,very_high,25-36mo,very_high,Estonia,1
2125.0,0.3799,60,medium,49-60mo,very_high,Spain,1
1594.0,0.199,30,low,25-36mo,medium,Spain,1
2020.0,0.5973,60,medium,49-60mo,very_high,Finland,1
2125.0,0.553,60,medium,49-60mo,very_high,Finland,1
2126.0,0.319,60,medium,49-60mo,very_high,Estonia,1
2125.0,0.5973,60,medium,49-60mo,very_high,Finland,1
1060.0,0.1251,36,low,25-36mo,very_low,Estonia,1
2075.0,0.2,60,medium,49-60mo,high,Finland,1
4250.0,0.5973,60,very_high,49-60mo,very_high,Finland,1
2975.0,0.3786,48,medium,37-48mo,very_high,Estonia,1
6590.0,0.3904,60,very_high,49-60mo,very_high,Finland,1
4040.0,0.3465,60,high,49-60mo,very_high,Estonia,1
531.0,0.3904,60,very_low,49-60mo,very_high,Estonia,1
4150.0,0.149,60,high,49-60mo,very_low,Finland,1
4890.0,0.4352,36,very_high,25-36mo,very_high,Finland,1
2658.0,0.2278,12,medium,<=12mo,high,Estonia,1
4150.0,0.2,60,high,49-60mo,high,Finland,1
2126.0,0.3148,60,medium,49-60mo,very_high,Estonia,1
2335.0,0.3411,60,medium,49-60mo,very_high,Finland,1
4253.0,0.2664,60,very_high,49-60mo,high,Estonia,1
2126.0,0.1689,60,medium,49-60mo,low,Estonia,1
2126.0,0.2517,60,medium,49-60mo,high,Estonia,1
2126.0,0.1972,60,medium,49-60mo,medium,Estonia,1
530.0,0.161,60,very_low,49-60mo,very_low,Estonia,1
530.0,0.3506,60,very_low,49-60mo,very_high,Estonia,1
531.0,0.1529,36,very_low,25-36mo,very_low,Estonia,1
4890.0,0.1284,36,very_high,25-36mo,very_low,Finland,1
10150.0,0.2,60,very_high,49-60mo,high,Finland,1
2126.0,0.365,60,medium,49-60mo,very_high,Estonia,1
1060.0,0.2909,30,low,25-36mo,high,Estonia,1
531.0,0.2003,60,very_low,49-60mo,high,Estonia,1
3185.0,0.2157,60,medium,49-60mo,high,Estonia,1
530.0,0.3328,60,very_low,49-60mo,very_high,Estonia,1
2075.0,0.2,48,medium,37-48mo,high,Finland,1
5316.0,0.2126,60,very_high,49-60mo,high,Estonia,1
2125.0,0.5973,60,medium,49-60mo,very_high,Finland,1
4253.0,0.1785,60,very_high,49-60mo,low,Spain,1
3721.0,0.1101,36,high,25-36mo,very_low,Estonia,1
531.0,0.2233,60,very_low,49-60mo,high,Estonia,1
1594.0,0.3852,60,low,49-60mo,very_high,Estonia,1
956.0,0.2576,60,low,49-60mo,high,Estonia,1
1063.0,0.09,36,low,25-36mo,very_low,Estonia,1
4150.0,0.1,60,high,49-60mo,very_low,Finland,1
4150.0,0.1927,60,high,49-60mo,low,Finland,1
635.0,0.1926,60,low,49-60mo,low,Estonia,1
5315.0,0.1753,36,very_high,25-36mo,low,Estonia,1
4253.0,0.1068,60,very_high,49-60mo,very_low,Estonia,1
2126.0,0.1399,60,medium,49-60mo,very_low,Estonia,1
5315.0,0.477,60,very_high,49-60mo,very_high,Finland,1
518.0,0.1927,9,very_low,<=12mo,low,Finland,1
6800.0,0.4914,36,very_high,25-36mo,very_high,Finland,1
6695.0,0.315,60,very_high,49-60mo,very_high,Finland,1
955.0,0.3693,48,low,37-48mo,very_high,Estonia,1
4355.0,0.2187,36,very_high,25-36mo,high,Estonia,1
956.0,0.2866,36,low,25-36mo,high,Estonia,1
4150.0,0.2,36,high,25-36mo,high,Finland,1
1382.0,0.3411,36,low,25-36mo,very_high,Estonia,1
1060.0,0.3786,60,low,49-60mo,very_high,Estonia,1
530.0,0.5973,36,very_low,25-36mo,very_high,Spain,1
7970.0,0.5973,60,very_high,49-60mo,very_high,Finland,1
2126.0,0.2003,60,medium,49-60mo,high,Estonia,1
2126.0,0.2502,60,medium,49-60mo,high,Estonia,1
2126.0,0.5776,60,medium,49-60mo,very_high,Spain,1
2125.0,0.4047,36,medium,25-36mo,very_high,Spain,1
10630.0,0.5973,60,very_high,49-60mo,very_high,Finland,1
2230.0,0.3865,60,medium,49-60mo,very_high,Estonia,1
3189.0,0.1085,60,high,49-60mo,very_low,Estonia,1
3721.0,0.3917,60,high,49-60mo,very_high,Estonia,1
4150.0,0.2,60,high,49-60mo,high,Finland,1
4150.0,0.1,60,high,49-60mo,very_low,Finland,1
2020.0,0.3301,60,medium,49-60mo,very_high,Estonia,1
2075.0,0.2,36,medium,25-36mo,high,Finland,1
4150.0,0.1,60,high,49-60mo,very_low,Finland,1
530.0,0.2065,36,very_low,25-36mo,high,Estonia,1
518.0,0.1,60,very_low,49-60mo,very_low,Finland,1
1548.0,0.3008,60,low,49-60mo,high,Estonia,1
2125.0,0.5776,60,medium,49-60mo,very_high,Spain,1
318.0,0.2532,60,very_low,49-60mo,high,Estonia,1
518.0,0.1,60,very_low,49-60mo,very_low,Finland,1
1594.0,0.3162,24,low,13-24mo,very_high,Estonia,1
530.0,0.278,9,very_low,<=12mo,high,Estonia,1
531.0,0.1334,12,very_low,<=12mo,very_low,Estonia,1
1275.0,0.1753,36,low,25-36mo,low,Estonia,1
531.0,0.3287,36,very_low,25-36mo,very_high,Estonia,1
2655.0,0.2126,36,medium,25-36mo,high,Estonia,1
531.0,0.36,60,very_low,49-60mo,very_high,Estonia,1
530.0,0.5973,36,very_low,25-36mo,very_high,Spain,1
518.0,0.2,60,very_low,49-60mo,high,Finland,1
1382.0,0.1101,60,low,49-60mo,very_low,Estonia,1
4250.0,0.5973,60,very_high,49-60mo,very_high,Finland,1
1380.0,0.3852,48,low,37-48mo,very_high,Estonia,1
8290.0,0.471,36,very_high,25-36mo,very_high,Finland,1
4253.0,0.1642,60,very_high,49-60mo,low,Estonia,1
5315.0,0.315,60,very_high,49-60mo,very_high,Finland,1
530.0,0.2218,36,very_low,25-36mo,high,Estonia,1
5954.0,0.1561,48,very_high,37-48mo,very_low,Estonia,1
531.0,0.2546,18,very_low,13-24mo,high,Estonia,1
2126.0,0.5609,60,medium,49-60mo,very_high,Spain,1
530.0,0.1118,60,very_low,49-60mo,very_low,Estonia,1
531.0,0.1689,60,very_low,49-60mo,low,Estonia,1
6375.0,0.5973,60,very_high,49-60mo,very_high,Finland,1
2232.0,0.1988,54,medium,49-60mo,medium,Estonia,1
215.89,0.199,24,very_low,13-24mo,medium,Finland,1
10630.0,0.5973,60,very_high,49-60mo,very_high,Finland,1
1275.0,0.5765,48,low,37-48mo,very_high,Spain,1
6911.0,0.3999,60,very_high,49-60mo,very_high,Estonia,1
4890.0,0.2233,60,very_high,49-60mo,high,Estonia,1
2126.0,0.2034,48,medium,37-48mo,high,Estonia,1
2125.0,0.5809,60,medium,49-60mo,very_high,Spain,1
7545.0,0.5973,60,very_high,49-60mo,very_high,Finland,1
2125.0,0.3022,60,medium,49-60mo,high,Estonia,1
530.0,0.1301,36,very_low,25-36mo,very_low,Estonia,1
3185.0,0.3786,60,medium,49-60mo,very_high,Estonia,1
531.0,0.2823,36,very_low,25-36mo,high,Estonia,1
530.0,0.5973,36,very_low,25-36mo,very_high,Spain,1
4040.0,0.3315,60,high,49-60mo,very_high,Finland,1
2335.0,0.4021,48,medium,37-48mo,very_high,Finland,1
8399.0,0.1926,120,very_high,60mo+,low,Estonia,1
318.0,0.1497,9,very_low,<=12mo,very_low,Estonia,1
6379.0,0.1464,60,very_high,49-60mo,very_low,Estonia,1
530.0,0.1383,48,very_low,37-48mo,very_low,Estonia,1
1063.0,0.1513,60,low,49-60mo,very_low,Estonia,1
744.0,0.1847,9,low,<=12mo,low,Estonia,1
530.0,0.1832,60,very_low,49-60mo,low,Estonia,1
2558.0,0.1017,60,medium,49-60mo,very_low,Estonia,1
1594.0,0.5609,60,low,49-60mo,very_high,Spain,1
4150.0,0.1,60,high,49-60mo,very_low,Finland,1
530.0,0.2502,9,very_low,<=12mo,high,Estonia,1
531.0,0.135,60,very_low,49-60mo,very_low,Estonia,1
531.0,0.1941,60,very_low,49-60mo,medium,Estonia,1
1063.0,0.1721,54,low,49-60mo,low,Estonia,1
7760.0,0.2894,36,very_high,25-36mo,high,Estonia,1
3189.0,0.1674,60,high,49-60mo,low,Estonia,1
7655.0,0.3093,60,very_high,49-60mo,very_high,Estonia,1
4253.0,0.1085,60,very_high,49-60mo,very_low,Estonia,1
4150.0,0.1,60,high,49-60mo,very_low,Finland,1
518.0,0.1,60,very_low,49-60mo,very_low,Finland,1
3189.0,0.2034,60,high,49-60mo,high,Estonia,1
6911.0,0.1513,60,very_high,49-60mo,very_low,Estonia,1
1037.0,0.2,60,low,49-60mo,high,Finland,1
830.0,0.1,60,low,49-60mo,very_low,Finland,1
2445.0,0.3533,36,medium,25-36mo,very_high,Estonia,1
4040.0,0.3891,60,high,49-60mo,very_high,Estonia,1
4150.0,0.149,60,high,49-60mo,very_low,Finland,1
2870.0,0.2126,60,medium,49-60mo,high,Estonia,1
10630.0,0.5973,60,very_high,49-60mo,very_high,Finland,1
1594.0,0.2278,60,low,49-60mo,high,Estonia,1
329.8,0.199,12,very_low,<=12mo,medium,Finland,1
530.0,0.1753,36,very_low,25-36mo,low,Estonia,1
6375.0,0.594,36,very_high,25-36mo,very_high,Finland,1
531.0,0.5842,60,very_low,49-60mo,very_high,Spain,1
1165.0,0.5919,36,low,25-36mo,very_high,Spain,1
4150.0,0.1,60,high,49-60mo,very_low,Finland,1
1060.0,0.191,36,low,25-36mo,low,Estonia,1
2658.0,0.372,48,medium,37-48mo,very_high,Spain,1
4150.0,0.1,60,high,49-60mo,very_low,Finland,1
530.0,0.364,30,very_low,25-36mo,very_high,Estonia,1
531.0,0.1168,6,very_low,<=12mo,very_low,Estonia,1
744.0,0.1972,60,low,49-60mo,medium,Estonia,1
2445.0,0.1753,60,medium,49-60mo,low,Estonia,1
9035.0,0.1894,60,very_high,49-60mo,low,Estonia,1
518.0,0.2,60,very_low,49-60mo,high,Finland,1
531.0,0.2218,12,very_low,<=12mo,high,Estonia,1
4150.0,0.2,36,high,25-36mo,high,Finland,1
3189.0,0.2202,60,high,49-60mo,high,Estonia,1
518.0,0.1,60,very_low,49-60mo,very_low,Finland,1
4150.0,0.1927,60,high,49-60mo,low,Finland,1
2655.0,0.5973,60,medium,49-60mo,very_high,Finland,1
4250.0,0.3546,36,very_high,25-36mo,very_high,Estonia,1
1063.0,0.1737,12,low,<=12mo,low,Estonia,1
10630.0,0.337,60,very_high,49-60mo,very_high,Estonia,1
1037.0,0.1927,3,low,<=12mo,low,Finland,1
4250.0,0.315,60,very_high,49-60mo,very_high,Finland,1
2126.0,0.1218,60,medium,49-60mo,very_low,Estonia,1
2335.0,0.4098,36,medium,25-36mo,very_high,Finland,1
4253.0,0.4213,60,very_high,49-60mo,very_high,Spain,1
1060.0,0.3492,36,low,25-36mo,very_high,Estonia,1
2906.0,0.2,60,medium,49-60mo,high,Finland,1
4250.0,0.5056,60,very_high,49-60mo,very_high,Finland,1
4780.0,0.3204,36,very_high,25-36mo,very_high,Estonia,1
2126.0,0.1721,60,medium,49-60mo,low,Estonia,1
531.0,0.2323,30,very_low,25-36mo,high,Estonia,1
5209.0,0.2003,60,very_high,49-60mo,high,Estonia,1
1590.0,0.3825,60,low,49-60mo,very_high,Estonia,1
4150.0,0.1,60,high,49-60mo,very_low,Finland,1
2126.0,0.0915,60,medium,49-60mo,very_low,Estonia,1
4150.0,0.149,60,high,49-60mo,very_low,Finland,1
2230.0,0.3451,36,medium,25-36mo,very_high,Estonia,1
3720.0,0.18,36,high,25-36mo,low,Estonia,1
1913.0,0.2338,60,medium,49-60mo,high,Estonia,1
622.0,0.1,60,very_low,49-60mo,very_low,Finland,1
4150.0,0.1,60,high,49-60mo,very_low,Finland,1
4150.0,0.1,60,high,49-60mo,very_low,Finland,1
2550.0,0.5209,36,medium,25-36mo,very_high,Finland,1
3295.0,0.2065,36,high,25-36mo,high,Finland,1
530.0,0.2866,36,very_low,25-36mo,high,Estonia,1
4250.0,0.2202,60,very_high,49-60mo,high,Estonia,1
4150.0,0.1,60,high,49-60mo,very_low,Finland,1
4250.0,0.3008,60,very_high,49-60mo,high,Estonia,1
10101.0,0.1202,60,very_high,49-60mo,very_low,Estonia,1
744.0,0.09,36,low,25-36mo,very_low,Estonia,1
2126.0,0.365,60,medium,49-60mo,very_high,Estonia,1
