baseline_probability,moderate_stress_probability,severe_stress_probability,actual_default
0.21285140562248997,0.24653058086341445,0.2966843691689393,0.0
0.05081381500595474,0.0608355460587302,0.07707628885080366,0.0
0.22661961179732792,0.2617528797172138,0.31371408630917763,0.0
0.13391662951404368,0.157606825005434,0.19433603875232766,0.0
0.08408752434414024,0.09998041233167552,0.1252773510838027,0.0
0.13391662951404368,0.157606825005434,0.19433603875232766,0.0
0.13391662951404368,0.157606825005434,0.19433603875232766,0.0
0.11290322580645161,0.13344887348353554,0.16565533980582522,0.0
0.08408752434414024,0.09998041233167552,0.1252773510838027,0.0
0.13391662951404368,0.157606825005434,0.19433603875232766,0.0
0.040262172284644196,0.04830877505733361,0.061424071496593666,0.0
0.01762632197414806,0.021249195106245976,0.027228298813125437,0.0
0.13391662951404368,0.157606825005434,0.19433603875232766,1.0
0.040262172284644196,0.04830877505733361,0.061424071496593666,0.0
0.05081381500595474,0.0608355460587302,0.07707628885080366,0.0
0.07830687830687831,0.09321839798446709,0.11702688455455985,0.0
0.13391662951404368,0.157606825005434,0.19433603875232766,0.0
0.09293914137442996,0.11030354258989901,0.13781248318375597,0.0
0.09293914137442996,0.11030354258989901,0.13781248318375597,0.0
0.13391662951404368,0.157606825005434,0.19433603875232766,1.0
0.22661961179732792,0.2617528797172138,0.31371408630917763,0.0
0.13391662951404368,0.157606825005434,0.19433603875232766,0.0
0.09293914137442996,0.11030354258989901,0.13781248318375597,1.0
0.08408752434414024,0.09998041233167552,0.1252773510838027,0.0
0.13391662951404368,0.157606825005434,0.19433603875232766,0.0
0.13391662951404368,0.157606825005434,0.19433603875232766,0.0
0.07259672915835659,0.08652297247389225,0.10882664090888183,0.0
0.05081381500595474,0.0608355460587302,0.07707628885080366,0.0
0.09293914137442996,0.11030354258989901,0.13781248318375597,0.0
0.08408752434414024,0.09998041233167552,0.1252773510838027,0.0
0.01762632197414806,0.021249195106245976,0.027228298813125437,0.0
0.22661961179732792,0.2617528797172138,0.31371408630917763,0.0
0.040262172284644196,0.04830877505733361,0.061424071496593666,0.0
