country_grouped,observations,roc_auc,brier_score
Estonia,16599,0.6167560331022115,0.08103476132190658
Finland,58014,0.5360188773120376,0.09953586720995874
Netherlands,5203,0.5675904014656519,0.07215661216357132
Spain,1578,0.5595558380637023,0.2473567184317621
