country_grouped,scenario,interest_rate_shock,observations,mean_pd,median_pd,max_pd,baseline_mean_pd,absolute_pd_change,relative_pd_change_percent
Finland,Severe Stress (+20%),0.2,58014,0.2413977182827341,0.30736842105263157,0.3327205882352941,0.0956198783684755,0.14577783991425858,152.45557974095837
Finland,Moderate Stress (+10%),0.1,58014,0.19590142728304566,0.22661961179732795,0.33088235294117646,0.0956198783684755,0.10028154891457015,104.87521070475607
Finland,Mild Stress (+5%),0.05,58014,0.18203279530740296,0.22661961179732795,0.30736842105263157,0.0956198783684755,0.08641291693892746,90.37128933162975
Spain,Severe Stress (+20%),0.2,1578,0.391657573115497,0.3888888888888889,0.4960725075528701,0.28880676944823735,0.10285080366725963,35.61232441460951
Spain,Moderate Stress (+10%),0.1,1578,0.38824820619534345,0.3888888888888889,0.4960725075528701,0.28880676944823735,0.0994414367471061,34.43182337349226
Spain,Mild Stress (+5%),0.05,1578,0.3807463795660866,0.3327205882352941,0.4960725075528701,0.28880676944823735,0.09193961011784924,31.834298861310973
Estonia,Severe Stress (+20%),0.2,16599,0.16322540437665808,0.13391662951404368,0.30736842105263157,0.13489188094229831,0.02833352343435977,21.004617354605493
Estonia,Moderate Stress (+10%),0.1,16599,0.15453006275334327,0.13391662951404368,0.30736842105263157,0.13489188094229831,0.019638181811044958,14.558460949510692
Estonia,Mild Stress (+5%),0.05,16599,0.1451359627794614,0.13391662951404368,0.30736842105263157,0.13489188094229831,0.010244081837163077,7.594290898460457
Netherlands,Severe Stress (+20%),0.2,5203,0.15824879483963908,0.13391662951404368,0.22661961179732795,0.15631696612075657,0.0019318287188825056,1.2358407195480923
Netherlands,Moderate Stress (+10%),0.1,5203,0.15740028023400923,0.13391662951404368,0.22661961179732795,0.15631696612075657,0.0010833141132526591,0.6930240140509042
Netherlands,Mild Stress (+5%),0.05,5203,0.1568584755067162,0.13391662951404368,0.22661961179732795,0.15631696612075657,0.000541509385959621,0.3464175382864705
