feature,feature_value,shap_value,absolute_shap_value
initial_loan_duration,30,-0.05948748442107618,0.05948748442107618
initial_interest_rate,0.1927,-0.017234753293477414,0.017234753293477414
loan_amount_band,low,-0.014050073276292497,0.014050073276292497
loan_term_bucket,25-36mo,0.013869735973421103,0.013869735973421103
country_grouped,Finland,0.007796773735432901,0.007796773735432901
interest_rate_bucket,low,-0.007069573654964505,0.007069573654964505
issued_amount,1036.0,-0.004702626894963898,0.004702626894963898
customer_risk_rating_was_missing,1,-0.00021473563855749223,0.00021473563855749223
